Year,Type,Employed
2008,Bachelor's degree or higher,0
2009,Bachelor's degree or higher,-7
2009,Bachelor's degree or higher,-7
2010,Bachelor's degree or higher,-14
2011,Bachelor's degree or higher,15
2012,Bachelor's degree or higher,34
2013,Bachelor's degree or higher,45
2014,Bachelor's degree or higher,78
2015,Bachelor's degree or higher,125
2008,Highschool or equivalent,0
2009,Highschool or equivalent,-23
2009,Highschool or equivalent,-23
2010,Highschool or equivalent,-29
2011,Highschool or equivalent,-19
2012,Highschool or equivalent,-44
2013,Highschool or equivalent,-75
2014,Highschool or equivalent,-84
2015,Highschool or equivalent,-67
