Row,Year,Type,AL,Totals,"Children, armed, or not in labor force",Employed,Unemployed
4,2003,Totals,Totals,"285,933","139,946","136,557","9,430"
6,2003,Totals,AL,"4,440","2,297","2,024",119
7,2003,Totals,AK,635,315,293,27
8,2003,Totals,AZ,"5,442","2,848","2,424",171
9,2003,Totals,AR,"2,692","1,458","1,169",65
10,2003,Totals,CA,"35,159","17,715","16,178","1,266"
11,2003,Totals,CO,"4,477","2,053","2,283",141
12,2003,Totals,CT,"3,382","1,645","1,633",104
13,2003,Totals,DE,798,386,393,19
14,2003,Totals,DC,572,262,290,20
15,2003,Totals,FL,"16,429","8,445","7,546",438
16,2003,Totals,GA,"8,426","4,041","4,181",204
17,2003,Totals,HI,"1,224",627,571,27
18,2003,Totals,ID,"1,300",618,636,46
19,2003,Totals,IL,"12,504","6,186","5,854",464
20,2003,Totals,IN,"6,100","2,936","2,978",186
21,2003,Totals,IA,"2,903","1,297","1,539",66
22,2003,Totals,KS,"2,685","1,270","1,343",71
23,2003,Totals,KY,"4,046","2,021","1,884",141
24,2003,Totals,LA,"4,447","2,328","1,975",143
25,2003,Totals,ME,"1,269",601,631,37
26,2003,Totals,MD,"5,458","2,443","2,870",144
27,2003,Totals,MA,"6,470","2,981","3,264",226
28,2003,Totals,MI,"9,910","4,885","4,615",410
29,2003,Totals,MN,"5,054","2,105","2,777",172
30,2003,Totals,MS,"2,787","1,522","1,187",78
31,2003,Totals,MO,"5,585","2,517","2,906",163
32,2003,Totals,MT,906,450,431,25
33,2003,Totals,NE,"1,704",723,936,44
34,2003,Totals,NV,"2,121","1,026","1,024",71
35,2003,Totals,NH,"1,266",546,688,32
36,2003,Totals,NJ,"8,604","4,159","4,170",276
37,2003,Totals,NM,"1,840",961,821,58
38,2003,Totals,NY,"19,283","9,745","8,920",617
39,2003,Totals,NC,"8,162","3,998","3,852",312
40,2003,Totals,ND,633,278,334,21
41,2003,Totals,OH,"11,282","5,393","5,454",436
42,2003,Totals,OK,"3,477","1,767","1,614",96
43,2003,Totals,OR,"3,510","1,699","1,651",161
44,2003,Totals,PA,"12,190","5,999","5,828",363
45,2003,Totals,RI,"1,056",478,543,35
46,2003,Totals,SC,"3,997","2,050","1,830",117
47,2003,Totals,SD,745,318,409,18
48,2003,Totals,TN,"5,672","2,832","2,670",170
49,2003,Totals,TX,"21,529","10,533","10,209",787
50,2003,Totals,UT,"2,310","1,127","1,088",95
51,2003,Totals,VT,619,263,336,21
52,2003,Totals,VA,"7,118","3,379","3,553",186
53,2003,Totals,WA,"6,001","2,900","2,844",257
54,2003,Totals,WV,"1,751","1,009",686,56
55,2003,Totals,WI,"5,475","2,298","2,963",214
56,2003,Totals,WY,488,215,260,14
58,2003,Children under 15,Totals,"60,684","60,684",.,.
60,2003,Children under 15,AL,905,905,.,.
