Date,Bachelor's degree or higher,Associate's degree or some college,High school or less
Dec-07,0,0,0
Jan-08,0.3,-0.1,-0.2
Feb-08,0.6,0,-0.6
Mar-08,0.8,0.1,-0.9
Apr-08,0.8,0.1,-1.1
May-08,0.7,0.3,-1.2
Jun-08,0.5,0.3,-1.1
Jul-08,0.5,0.2,-1.2
Aug-08,0.5,0.2,-1.4
Sep-08,0.6,0,-1.5
Oct-08,0.5,0,-1.9
Nov-08,0.4,0,-2.1
Dec-08,0.3,-0.2,-2.4
Jan-09,0.1,-0.3,-2.9
Feb-09,0,-0.6,-3.3
Mar-09,-0.1,-0.8,-3.8
Apr-09,0,-1,-4.2
May-09,0,-1.2,-4.3
Jun-09,0.1,-1.3,-4.4
Jul-09,0.1,-1.5,-4.6
Aug-09,0.1,-1.5,-4.7
Sep-09,0.3,-1.7,-5.1
Oct-09,0.3,-1.7,-5.4
Nov-09,0.3,-1.8,-5.6
Dec-09,0.4,-1.8,-5.7
Jan-10,0.2,-1.8,-5.6
Feb-10,0.1,-1.8,-5.4
Mar-10,0,-1.9,-5.1
Apr-10,0,-1.8,-4.9
May-10,0.2,-1.8,-4.9
Jun-10,0.5,-1.8,-5
Jul-10,0.6,-1.8,-5.2
Aug-10,0.7,-1.8,-5.5
Sep-10,0.7,-1.6,-5.4
Oct-10,0.7,-1.48908,-5.5
Nov-10,0.7,-1.422736,-5.6
Dec-10,0.7,-1.354524,-5.7
Jan-11,0.8,-1.389604,-5.7
Feb-11,1,-1.346764,-5.7
Mar-11,1.1,-1.310808,-5.8
Apr-11,1.2,-1.212476,-5.8
May-11,1.3,-1.25492,-5.9
Jun-11,1.3,-1.365316,-5.9
Jul-11,1.3,-1.355876,-6
Aug-11,1.4,-1.37856,-5.9
Sep-11,1.5,-1.234212,-5.8
Oct-11,1.5,-1.032672,-5.7
Nov-11,1.7,-0.86246,-5.7
Dec-11,1.8,-0.555304,-5.7
Jan-12,2,-0.305372,-5.6
Feb-12,2.3,-0.109472,-6
Mar-12,2.5,-0.083492,-6
Apr-12,2.7,-0.197444,-5.9
May-12,2.7,-0.24624,-5.9
Jun-12,2.7,-0.33796,-5.8
Jul-12,2.9,-0.285408,-6
Aug-12,3,-0.108528,-6.1
Sep-12,3.3,0.007572,-6.1
Oct-12,3.5,0.16414,-6.2
Nov-12,3.6,0.317848,-6.1
Dec-12,3.7,0.346516,-6.1
Jan-13,3.7,0.34956,-6.3
Feb-13,3.8,0.365236,-6.4
Mar-13,4,0.297916,-6.5
Apr-13,4.2,0.258976,-6.5
May-13,4.2,0.181064,-6.4
Jun-13,4.2,0.104864,-6.2
Jul-13,4.2,0.168236,-6.1
Aug-13,4.3,0.219076,-6
Sep-13,4.3,0.260812,-6.1
Oct-13,4.5,0.310756,-6.2
Nov-13,4.6,0.232544,-6.1
Dec-13,4.920464,0.084836,-6.1
Jan-14,5.13885,0.025112,-5.8
Feb-14,5.195554,0.044976,-5.6
Mar-14,5.33247,0.140368,-5.6
Apr-14,5.29572,0.30276,-5.6
May-14,5.342106,0.512384,-5.7
Jun-14,5.468186,0.711508,-5.9
Jul-14,5.492208,0.840052,-5.9
Aug-14,5.576154,0.900872,-5.8
Sep-14,5.690762,0.97444,-5.6
Oct-14,5.915072,0.889408,-5.5
Nov-14,6.321854,0.736448,-5.4
Dec-14,6.652676,0.74006,-5.4
Jan-15,6.935868,0.642844,-5.4
Feb-15,7.0162,0.644268,-5.3
Mar-15,6.892398,0.833188,-5.1
Apr-15,6.951136,0.9177,-5.1
May-15,7.053796,1.019104,-5.3
Jun-15,7.38022,1.039396,-5.6
Jul-15,7.826148,0.877108,-5.8
Aug-15,8.105532,0.717092,-5.9
Sep-15,8.341882,0.622548,-5.8
Oct-15,8.435,0.606524,-5.5
Nov-15,8.553208,0.866492,-5.6
Dec-15,8.586154,1.177928,-5.5
Jan-16,8.61749,1.330412,-5.5
