"","year","type","employed"
"1",2003,"No.high.school.diploma",16835
"2",2004,"No.high.school.diploma",16400
"3",2005,"No.high.school.diploma",16574
"4",2006,"No.high.school.diploma",16823
"5",2007,"No.high.school.diploma",16923
"6",2008,"No.high.school.diploma",15360
"7",2009,"No.high.school.diploma",13963
"8",2010,"No.high.school.diploma",13215
"9",2011,"No.high.school.diploma",12786
"10",2012,"No.high.school.diploma",13185
"11",2013,"No.high.school.diploma",12710
"12",2014,"No.high.school.diploma",13236
"13",2015,"No.high.school.diploma",13426
"14",2003,"High.school.or.equivalent",40658
"15",2004,"High.school.or.equivalent",40754
"16",2005,"High.school.or.equivalent",41499
"17",2006,"High.school.or.equivalent",41866
"18",2007,"High.school.or.equivalent",42511
"19",2008,"High.school.or.equivalent",41226
"20",2009,"High.school.or.equivalent",38965
"21",2010,"High.school.or.equivalent",38883
"22",2011,"High.school.or.equivalent",38113
"23",2012,"High.school.or.equivalent",38148
"24",2013,"High.school.or.equivalent",37730
"25",2014,"High.school.or.equivalent",38518
"26",2015,"High.school.or.equivalent",39065
"27",2003,"Bachelor.s.degree.or.higher",39982
"28",2004,"Bachelor.s.degree.or.higher",40854
"29",2005,"Bachelor.s.degree.or.higher",41398
"30",2006,"Bachelor.s.degree.or.higher",42454
"31",2007,"Bachelor.s.degree.or.higher",44780
"32",2008,"Bachelor.s.degree.or.higher",46226
"33",2009,"Bachelor.s.degree.or.higher",45547
"34",2010,"Bachelor.s.degree.or.higher",45900
"35",2011,"Bachelor.s.degree.or.higher",47102
"36",2012,"Bachelor.s.degree.or.higher",48346
"37",2013,"Bachelor.s.degree.or.higher",49746
"38",2014,"Bachelor.s.degree.or.higher",50780
"39",2015,"Bachelor.s.degree.or.higher",52580
